origin,destination,origin_latitude,origin_longitude,destination_latitude,destination_longitude
TLC,MTY,193.371,-99.566,257.785,-100.107
MTY,TLC,257.785,-100.107,193.371,-99.566
MEX,MTY,194.363,-990.721,257.785,-100.107
MTY,MEX,257.785,-100.107,194.363,-990.721
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MTY,MEX,257.785,-100.107,194.363,-990.721
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MTY,MEX,257.785,-100.107,194.363,-990.721
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MTY,MEX,257.785,-100.107,194.363,-990.721
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,MTY,194.363,-990.721,257.785,-100.107
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
MEX,TAM,194.363,-990.721,222.964,-978.659
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
MEX,TAM,194.363,-990.721,222.964,-978.659
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
TAM,MEX,222.964,-978.659,194.363,-990.721
